strategy,stop_config,period,return_pct,buy_hold_pct,max_dd_pct,sharpe,pf,win_rate_pct,trades,stop_exits,signal_exits,time_in_market_pct
6_BB_Squeeze_Break,break_low3,bull_2016_2017,-100.29,4400.04,-100.23,0.18,1.27,46.79,218,63,154,22.44
6_BB_Squeeze_Break,break_low5,bull_2016_2017,-100.33,4400.04,-100.26,0.27,1.33,48.08,208,37,170,22.51
6_BB_Squeeze_Break,break_low8,bull_2016_2017,-100.37,4400.04,-100.29,0.34,1.39,49.27,205,25,179,22.54
10_Supertrend_Bull,sin_SL,bull_2016_2017,2662.0,4400.04,-26.92,3.51,3.62,54.15,205,0,0,55.15
10_Supertrend_Bull,fix_low3_b0.5,bull_2016_2017,766.41,4400.04,-42.12,2.19,2.14,50.44,226,51,175,55.02
10_Supertrend_Bull,fix_low5_b0.5,bull_2016_2017,957.23,4400.04,-40.25,2.38,2.32,51.85,216,37,179,55.08
10_Supertrend_Bull,fix_low5_b1,bull_2016_2017,1042.43,4400.04,-40.25,2.45,2.39,52.61,211,21,190,55.12
10_Supertrend_Bull,fix_low8_b0.5,bull_2016_2017,1045.77,4400.04,-40.25,2.45,2.42,53.08,211,26,185,55.12
10_Supertrend_Bull,fix_low10_b0.5,bull_2016_2017,1069.48,4400.04,-40.25,2.47,2.43,53.33,210,24,186,55.12
10_Supertrend_Bull,fix_low20_b0.5,bull_2016_2017,1110.88,4400.04,-40.25,2.5,2.47,53.33,210,19,191,55.12
10_Supertrend_Bull,fix_low50_b0.5,bull_2016_2017,1147.06,4400.04,-40.25,2.53,2.5,53.33,210,17,193,55.12
10_Supertrend_Bull,trail_low3_b0.5,bull_2016_2017,2662.0,4400.04,-26.92,3.51,3.62,54.15,205,0,205,55.15
10_Supertrend_Bull,trail_low5_b0.5,bull_2016_2017,2662.0,4400.04,-26.92,3.51,3.62,54.15,205,0,205,55.15
10_Supertrend_Bull,trail_low8_b0.5,bull_2016_2017,2662.0,4400.04,-26.92,3.51,3.62,54.15,205,0,205,55.15
10_Supertrend_Bull,trail_low10_b0.5,bull_2016_2017,2662.0,4400.04,-26.92,3.51,3.62,54.15,205,0,205,55.15
