strategy,stop_loss,stop_kind,period,return_pct,max_dd_pct,sharpe,pf,win_rate_pct,trades,stop_exits
1_EMA_Cross_12_26,entry_low_b0.5,entry_low,bull_2020_2021,-6.38,-67.15,0.21,1.23,25.81,248,147
1_EMA_Cross_12_26,trade_low_b0.5,trade_swing,bull_2020_2021,216.33,-38.91,2.07,1.99,37.42,163,0
1_EMA_Cross_12_26,time_48h,time_stop,bull_2020_2021,216.33,-38.91,2.07,1.99,37.42,163,0
1_EMA_Cross_12_26,time_72h,time_stop,bull_2020_2021,216.33,-38.91,2.07,1.99,37.42,163,0
1_EMA_Cross_12_26,time_120h,time_stop,bull_2020_2021,216.33,-38.91,2.07,1.99,37.42,163,0
2_EMA_Cross_21_55,sin_SL,none,bull_2020_2021,308.16,-26.34,2.46,2.61,38.67,75,0
2_EMA_Cross_21_55,fixed_3pct,fixed_pct,bull_2020_2021,214.96,-32.45,2.05,2.16,37.5,88,29
2_EMA_Cross_21_55,fixed_5pct,fixed_pct,bull_2020_2021,255.97,-29.0,2.24,2.35,37.66,77,6
2_EMA_Cross_21_55,fixed_8pct,fixed_pct,bull_2020_2021,289.9,-26.34,2.38,2.52,38.67,75,1
2_EMA_Cross_21_55,fixed_10pct,fixed_pct,bull_2020_2021,308.16,-26.34,2.46,2.61,38.67,75,0
2_EMA_Cross_21_55,fixed_12pct,fixed_pct,bull_2020_2021,308.16,-26.34,2.46,2.61,38.67,75,0
2_EMA_Cross_21_55,fixed_15pct,fixed_pct,bull_2020_2021,308.16,-26.34,2.46,2.61,38.67,75,0
2_EMA_Cross_21_55,fixed_20pct,fixed_pct,bull_2020_2021,308.16,-26.34,2.46,2.61,38.67,75,0
2_EMA_Cross_21_55,trail_5pct,trail_pct,bull_2020_2021,-61.03,-74.9,-1.12,0.87,30.9,178,117
2_EMA_Cross_21_55,trail_8pct,trail_pct,bull_2020_2021,74.29,-45.91,1.15,1.58,38.0,100,30
2_EMA_Cross_21_55,trail_10pct,trail_pct,bull_2020_2021,174.2,-39.86,1.84,2.03,36.14,83,11
2_EMA_Cross_21_55,trail_12pct,trail_pct,bull_2020_2021,208.58,-39.68,2.04,2.15,36.71,79,6
2_EMA_Cross_21_55,trail_15pct,trail_pct,bull_2020_2021,266.32,-26.34,2.27,2.49,39.47,76,1
2_EMA_Cross_21_55,trail_20pct,trail_pct,bull_2020_2021,266.32,-26.34,2.27,2.49,39.47,76,1
2_EMA_Cross_21_55,atr_fix_1.5x,atr_fixed,bull_2020_2021,130.61,-40.63,1.57,1.83,28.46,123,66
2_EMA_Cross_21_55,atr_fix_2.0x,atr_fixed,bull_2020_2021,161.38,-31.92,1.76,1.94,34.31,102,43
2_EMA_Cross_21_55,atr_fix_2.5x,atr_fixed,bull_2020_2021,221.42,-28.57,2.08,2.2,37.08,89,26
2_EMA_Cross_21_55,atr_fix_3.0x,atr_fixed,bull_2020_2021,251.06,-27.81,2.22,2.34,37.35,83,15
2_EMA_Cross_21_55,atr_fix_4.0x,atr_fixed,bull_2020_2021,274.19,-26.6,2.31,2.44,37.66,77,8
2_EMA_Cross_21_55,atr_trail_2.0x,atr_trail,bull_2020_2021,-99.86,-99.86,-9.96,0.34,28.12,704,663
2_EMA_Cross_21_55,atr_trail_2.5x,atr_trail,bull_2020_2021,-98.44,-98.5,-6.1,0.48,33.4,485,437
2_EMA_Cross_21_55,atr_trail_3.0x,atr_trail,bull_2020_2021,-95.15,-95.4,-4.26,0.55,33.7,359,305
2_EMA_Cross_21_55,atr_trail_4.0x,atr_trail,bull_2020_2021,-61.64,-73.01,-1.13,0.9,36.09,230,166
2_EMA_Cross_21_55,chandelier_2.0x,chandelier,bull_2020_2021,-99.88,-99.88,-10.29,0.33,28.01,689,652
2_EMA_Cross_21_55,chandelier_3.0x,chandelier,bull_2020_2021,-94.67,-94.95,-4.08,0.56,35.47,344,288
2_EMA_Cross_21_55,breakeven_5pct,breakeven,bull_2020_2021,161.94,-40.35,1.81,1.97,34.88,86,14
2_EMA_Cross_21_55,breakeven_8pct,breakeven,bull_2020_2021,188.28,-36.61,1.96,2.09,34.18,79,7
2_EMA_Cross_21_55,breakeven_10pct,breakeven,bull_2020_2021,193.54,-36.61,1.99,2.12,34.62,78,5
2_EMA_Cross_21_55,fix_low20_b0.5,fixed_swing,bull_2020_2021,281.98,-26.6,2.35,2.49,37.66,77,6
2_EMA_Cross_21_55,trail_low20_b0.5,trail_swing,bull_2020_2021,315.14,-26.34,2.49,2.66,38.16,76,1
2_EMA_Cross_21_55,break_low5,break_low,bull_2020_2021,155.72,-32.6,1.72,1.91,31.0,100,39
2_EMA_Cross_21_55,entry_low_b0.5,entry_low,bull_2020_2021,49.65,-45.94,0.92,1.49,24.36,156,107
2_EMA_Cross_21_55,trade_low_b0.5,trade_swing,bull_2020_2021,308.16,-26.34,2.46,2.61,38.67,75,0
2_EMA_Cross_21_55,time_48h,time_stop,bull_2020_2021,281.0,-26.44,2.35,2.51,32.56,86,16
2_EMA_Cross_21_55,time_72h,time_stop,bull_2020_2021,297.72,-27.0,2.42,2.57,36.36,77,5
2_EMA_Cross_21_55,time_120h,time_stop,bull_2020_2021,308.16,-26.34,2.46,2.61,38.67,75,1
10_Supertrend_Bull,sin_SL,none,bull_2020_2021,106.51,-38.81,1.48,1.72,50.0,108,0
10_Supertrend_Bull,fixed_3pct,fixed_pct,bull_2020_2021,2.8,-62.24,0.33,1.21,40.15,137,46
10_Supertrend_Bull,fixed_5pct,fixed_pct,bull_2020_2021,67.0,-45.86,1.11,1.52,47.37,114,12
10_Supertrend_Bull,fixed_8pct,fixed_pct,bull_2020_2021,87.94,-41.99,1.32,1.63,49.09,110,4
10_Supertrend_Bull,fixed_10pct,fixed_pct,bull_2020_2021,99.62,-40.85,1.42,1.69,50.0,108,1
10_Supertrend_Bull,fixed_12pct,fixed_pct,bull_2020_2021,99.62,-40.85,1.42,1.69,50.0,108,1
10_Supertrend_Bull,fixed_15pct,fixed_pct,bull_2020_2021,106.51,-38.81,1.48,1.72,50.0,108,0
10_Supertrend_Bull,fixed_20pct,fixed_pct,bull_2020_2021,106.51,-38.81,1.48,1.72,50.0,108,0
10_Supertrend_Bull,trail_5pct,trail_pct,bull_2020_2021,-60.24,-78.45,-1.16,0.85,35.58,163,89
10_Supertrend_Bull,trail_8pct,trail_pct,bull_2020_2021,55.82,-47.63,1.0,1.47,47.79,113,13
10_Supertrend_Bull,trail_10pct,trail_pct,bull_2020_2021,74.79,-43.93,1.19,1.57,48.65,111,5
10_Supertrend_Bull,trail_12pct,trail_pct,bull_2020_2021,92.86,-40.85,1.36,1.65,49.54,109,2
10_Supertrend_Bull,trail_15pct,trail_pct,bull_2020_2021,106.51,-38.81,1.48,1.72,50.0,108,0
10_Supertrend_Bull,trail_20pct,trail_pct,bull_2020_2021,106.51,-38.81,1.48,1.72,50.0,108,0
10_Supertrend_Bull,atr_fix_1.5x,atr_fixed,bull_2020_2021,-9.27,-60.55,0.13,1.17,34.34,166,93
10_Supertrend_Bull,atr_fix_2.0x,atr_fixed,bull_2020_2021,30.27,-51.48,0.71,1.35,38.73,142,54
10_Supertrend_Bull,atr_fix_2.5x,atr_fixed,bull_2020_2021,30.77,-52.39,0.71,1.35,41.35,133,40
10_Supertrend_Bull,atr_fix_3.0x,atr_fixed,bull_2020_2021,49.11,-46.76,0.93,1.43,44.72,123,31
10_Supertrend_Bull,atr_fix_4.0x,atr_fixed,bull_2020_2021,82.4,-42.29,1.27,1.6,49.55,111,12
10_Supertrend_Bull,atr_trail_2.0x,atr_trail,bull_2020_2021,-99.73,-99.73,-9.4,0.32,26.06,591,574
10_Supertrend_Bull,atr_trail_2.5x,atr_trail,bull_2020_2021,-97.99,-98.06,-5.96,0.46,27.91,412,384
10_Supertrend_Bull,atr_trail_3.0x,atr_trail,bull_2020_2021,-91.96,-92.38,-3.71,0.55,28.9,301,268
10_Supertrend_Bull,atr_trail_4.0x,atr_trail,bull_2020_2021,-58.04,-68.42,-1.08,0.88,34.44,180,147
10_Supertrend_Bull,chandelier_2.0x,chandelier,bull_2020_2021,-99.81,-99.81,-10.02,0.3,25.17,584,571
10_Supertrend_Bull,chandelier_3.0x,chandelier,bull_2020_2021,-91.93,-92.33,-3.68,0.56,30.31,287,254
10_Supertrend_Bull,breakeven_5pct,breakeven,bull_2020_2021,51.52,-51.21,0.96,1.47,45.76,118,17
10_Supertrend_Bull,breakeven_8pct,breakeven,bull_2020_2021,87.27,-42.2,1.31,1.63,48.18,110,5
10_Supertrend_Bull,breakeven_10pct,breakeven,bull_2020_2021,87.94,-41.99,1.32,1.63,49.09,110,4
10_Supertrend_Bull,fix_low20_b0.5,fixed_swing,bull_2020_2021,82.11,-39.47,1.27,1.59,47.75,111,9
10_Supertrend_Bull,trail_low20_b0.5,trail_swing,bull_2020_2021,106.41,-38.81,1.48,1.72,50.0,108,1
10_Supertrend_Bull,break_low5,break_low,bull_2020_2021,27.1,-53.06,0.67,1.33,42.19,128,39
10_Supertrend_Bull,entry_low_b0.5,entry_low,bull_2020_2021,-22.45,-65.3,-0.12,1.11,31.07,177,105
10_Supertrend_Bull,trade_low_b0.5,trade_swing,bull_2020_2021,106.51,-38.81,1.48,1.72,50.0,108,0
10_Supertrend_Bull,time_48h,time_stop,bull_2020_2021,101.35,-38.81,1.44,1.7,49.09,110,8
10_Supertrend_Bull,time_72h,time_stop,bull_2020_2021,106.51,-38.81,1.48,1.72,50.0,108,0
10_Supertrend_Bull,time_120h,time_stop,bull_2020_2021,106.51,-38.81,1.48,1.72,50.0,108,0
